,companyName,jobType,location,position,description,Aggregation,ExtendedTags
0,Hatch,Graduate programme,Gauteng,Chemical Engineering Graduate Programme 2023,"Hatch is currently seeking the top performing and highly motivated Chemical Engineering final year students to join us on our 2024 Graduate Selection Journey.
 
As the successful candidate, you will:Be encouraged to be the best version of yourself with many opportunities to pursue work in Mining & Metals, Energy, Digital, or Infrastructure sectors.
Have the benefit of formal and informal mentorship from some of the leading minds and authorities in the industry.
Have the opportunity to gain project experience in South Africa and around the world.
Collaborate with different people across a multitude of cultures around our global organization.
Work in an exciting environment where you can use your Engineering degree in your choice of traditional sectors or emerging, innovative, and evolving industries.
Be part of our local Professional Development Programs.
Minimum Requirements:You must be a South African Citizen.
Completed or Final year  BSc or BEng in Chemical Engineering at a recognized Tertiary Institution
Must have 0 or less than 12 months working experience. 
You must have maintained an average academic achievement of 70% or above.
Be flexible to work in any province within South Africa.","South, AfricaChemical, Institution, Digital, Energy, Metals, Mining, Eng, Engineering, Tertiary","South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, AfricaChemical, Institution, institutions, society, institute, established, private, university, foundation, academic, education, educational, Digital, electronic, analog, video, audio, multimedia, computer, wireless, interactive, internet, computers, Energy, resources, gas, renewable, natural, petroleum, electricity, oil, power, development, fuel, Metals, minerals, copper, commodities, ferrous, commodity, ores, aluminium, alloys, chemicals, zinc, Mining, coal, mines, copper, industrial, ore, mine, mineral, exploration, minerals, logging, Eng, fra, aus, capt, saracens, leicester, rsa, esp, harlequins, /, gareth, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, Tertiary, secondary, schooling, post-secondary, vocational, quaternary, colleges, undergraduate, pupils, education, university-level"
1,Tiger Brands,Graduate programme,Nationwide,Future Leaders Graduate Development Programme 2023,"The Tiger Brands Future Leaders Development Programme (FLDP) is a 24-month enhanced development programme which aims to recruit South African graduates who demonstrate the potential to reach leadership positions in the organisation.
 
FLDP’s are selected to join various disciplines across our business and are taken through a structured combined learning programme which intends to prepare them for key roles within the organisation.
 The following Graduate Internship Opportunities are open for applications:
 
Customer Graduate
BCom Degree in:Business,
Marketing
or related fields (Entrepreneurship, Economics, Business Management etc.)
Research and Development Graduate
Bachelor’s Degree or Btech in:Food Technology,
Biotechnology,
Microbiology
Marketing GraduateBachelor’s Degree (Majoring in Marketing Management)
Chemical Engineering GraduateBSc/BEng Degree (Chemical)
Information Technology GraduateBSc: Information Technology OR Computer Science
Mechanical Engineering GraduateBSc/BEng Degree (Mechanical)
Corporate Affairs Graduate
Bachelor’s Degree inBusiness Management,
Economics,
Enterprise Development.
Communications,
Strategic Communication,
Journalism
Human Resources​​​​​​​​​​​​​​​​​​​​​​​​​​​​ GraduateBCom Degree (Human Resources or Industrial Psychology)
Industrial Engineering​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ GraduateBSc/BEng Degree in: (Industrial)
BSc/BEng Degree in: (Electrical)
Supply Chain Management​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ GraduateBCom Degree (Logistics or Supply Chain)
Finance CA(SA) Stream GraduateBCom Degree in Accounting & completion of level 2 CTA","The, Opportunities, Tiger, Degree, Technology, Communication, Information, Graduate, Computer, Brands, Food, Chemical, Mechanical, Strategic, Economics, Internship, Eng, Science, Engineering, AccountingGraduate, CustomerSupply, Chain","The, this, part, one, of, same, first, on, its, as, that, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Tiger, tigers, leopard, elephant, woods, crocodile, dragon, lion, turtle, rebel, elephants, Degree, bachelor, doctorate, graduate, degrees, undergraduate, graduated, ph.d., graduating, phd, b.a., Technology, technologies, computer, tech, software, systems, innovation, technological, engineering, research, computing, Communication, communications, systems, services, technology, knowledge, information, learning, interaction, navigation, connections, Information, data, knowledge, access, provided, intelligence, source, documents, web, internet, provide, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Brands, brand, products, cola, cosmetics, specialty, stores, foods, drinks, marketed, beverages, Food, foods, supplies, products, meat, supply, feed, medicines, meals, coffee, goods, Chemical, chemicals, biological, toxic, materials, biochemical, compounds, industrial, components, nuclear, pesticides, Mechanical, electrical, engineering, hydraulic, mechanics, technical, hydraulics, physics, structural, components, design, Strategic, operational, tactical, strategy, objectives, cooperation, joint, objective, aim, security, policy, Economics, sociology, professor, science, philosophy, psychology, mathematics, sciences, physics, harvard, institute, Internship, apprenticeship, internships, sabbatical, residencies, post-graduate, semester, undergraduate, vocational, secretarial, part-time, Eng, fra, aus, capt, saracens, leicester, rsa, esp, harlequins, /, gareth, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, AccountingGraduate, CustomerSupply, Chain, chains, stores, store, supermarket, grocery, retail, retailer, restaurants, shop, supermarkets"
2,Investec,Graduate programme,Gauteng,Tech Graduate Programme 2023,"Investec Sandton is looking for Tech Graduates to join the Investec Tech 2024 Grad Programme.   
 
Our Programme offers you hands-on responsibility and business mentoring in one of the most dynamic and successful financial institutions in South African. In addition, the Investec Tech Grad Programme is underpinned by an internal development strategy that provides specialist structured learning and support to enable you to thrive within the Investec environment.Required Fields of Study:
Students studying towards a degree or Post Graduate degree in one of the following fields:Bachelor of Science (BSc or BS) in Computer Science.
Bachelor of Science (BSc or BS) Business Computing or Computer Engineering.
Bachelor of Commerce (B.Comm) in Informatics or Information Systems.
Bachelor of Business Science (B.BusSc) in Information Systems.
Any other Tech related degree.","Commerce, Informatics, Investec, Grad, Business, Programme, Bachelor, Tech, Systems, Computer, Science, Engineering, InformationRequired, Fields, Study","Commerce, trade, department, transportation, tourism, finance, industry, affairs, agriculture, business, bureau, Informatics, biomedical, neuroscience, cybernetics, sciences, bioinformatics, microbiology, humanities, robotics, nanotechnology, olympiad, Investec, lereah, calyon, bittles, numis, ehrenkrantz, ladwa, readerman, painewebber, pecoriello, hambrecht, Grad, bm-21, grads, mrkonjic, mrkonjić, katyusha, ib, rocket, 122mm, sipovo, rockets, Business, industry, companies, businesses, marketing, company, corporate, financial, market, investment, management, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Bachelor, doctorate, degree, bachelors, graduate, ph.d., b.a., undergraduate, graduated, phd, diploma, Tech, technology, electronics, computer, chip, big, business, texas, industrial, advanced, technological, Systems, system, technologies, equipment, technology, software, computer, devices, components, communications, communication, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, InformationRequired, Fields, field, areas, natural, agricultural, well, projects, surrounding, farming, land, development, Study, studies, research, researchers, studying, scientific, institute, science, clinical, findings, analysis"
3,Nedbank,Graduate programme,Gauteng,Quantitative Analyst Graduate Programme 2023 / 2024,"ResponsibilitiesSeek opportunities to improve business processes; models and systems by identifying and recommending effective ways to operate and adding value to Nedbank.
Contribute to the Nedbank Quants Training Programme by pro-actively participating in programme committees/structures (E.g., marketing committee, recruitment committee and social committee). This is called ‘programme involvement’. The objective of this participation is to enhance their personal and professional development whilst adding value to the Nedbank Quants Training Programme.
Ensure business needs are met by engaging and assisting business through face-to-face interaction and attendance at forums and committees.
Assist the business to address queries by extracting and analysing data.
Ensure continuity and knowledge base through documenting and recording processes and models.
Ensure compliance to policy through data analysis and monitoring.
Establish understanding of processes by bridging the gap between operational and analytical concepts through communication.
Improve personal capability and stay abreast of developments in field of expertise by identifying training courses and career progression for self through input and feedback from managers as well as sharing knowledge and industry trends with the team.
Required Fields of study:Pure Mathematics,
Applied Mathematics,
Statistics,
Engineering,
Econometrics,
Financial Engineering,
Quantitative Risk Management
Or Similar","Improve, Nedbank, Financial, Quantitative, Contribute, Training, Management, Quants, Programme, Econometrics, Applied, Risk, Mathematics, EngineeringRequired, Pure, Mathematics, Fields","Improve, improving, enhance, improved, strengthen, maintain, develop, boost, expand, ensure, better, Nedbank, cosafa, twenty-20, vodacom, dunhill, absa, invitational, sundarbans, canada-russia, jeonju, everland, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Quantitative, qualitative, empirical, analysis, methodology, analytical, methods, analyses, behavioral, descriptive, theoretical, Contribute, contributes, encourage, reduce, benefit, promote, enhance, improve, achieve, expand, accelerate, Training, preparation, skills, teaching, combat, program, trained, instructors, personnel, operations, courses, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Quants, b-boys, paleoconservatives, moscovites, rishonim, mahatmas, objectivists, muckrakers, maquisards, bouchons, abelisaurids, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Econometrics, climatology, criminology, econometric, geomorphology, cybernetics, maplewood, geology, kisco, hydrogeology, microeconomics, Applied, apply, applying, application, using, used, obtained, applies, use, applications, methods, Risk, risks, danger, exposure, potential, cause, avoid, consequences, likelihood, serious, potentially, Mathematics, physics, mathematical, science, biology, chemistry, sociology, philosophy, humanities, linguistics, sciences, EngineeringRequired, Pure, essence, true, simple, organic, blend, unadulterated, purity, kind, mix, passion, Mathematics, physics, mathematical, science, biology, chemistry, sociology, philosophy, humanities, linguistics, sciences, Fields, field, areas, natural, agricultural, well, projects, surrounding, farming, land, development"
4,BBD,Graduate programme,Gauteng,Graduate Programme 2023,"BBD is an international software firm that solves real-world problems with innovative solutions and modern technology stacks. Our experience spans the education, financial services, gaming, insurance, telecoms and public sectors. We maintain our track record by using our vast business domain knowledge and world-class skills to successfully deliver digital solutions into client organisations. 
 
Our relaxed yet professional work environment extends to our flat management structure. Being a part of BBD means working on dynamic project teams, while pursuing your own career growth through our Continuous Learning Programme.
 
The role
The BBD Grad Programme lets you bridge the gap between what you’ve learnt at university and what you need to flourish in the IT industry. As a BBD grad you’ll gain real project experience from the very first week and build your technical knowledge through exposure to a wide range of technologies and methodologies. You’ll learn first-hand how to break and fix things, all the while working hard and having fun alongside your senior mentors and your graduate class. Our graduates tell us they learn more in their first 8 weeks at BBD than they did throughout their university studies so the pace is as fast as you can handle.What we’re looking for in our grads:
We are looking for passionate and newly qualified grads with a Diploma / Bachelors / Honours / Masters / Doctorate degree in BSc / BEng / BCom / BIT majoring in:Computer Science,
Computer and Software Engineering,
Information Technology
or Informatics. 
As a BBD grad, you need to meet the following requirements:Be immersed in, and have engaged with, technology / coding over and above your formal education
Be a newly qualified graduate at a recognised South African university
Have a high academic average
Be passionate about building software and creatively solving issues and bugs
Be a South African citizen","The, Continuous, Informatics, Grad, Programme, Computer, Learning, Science, Technology, Information","The, this, part, one, of, same, first, on, its, as, that, Continuous, constant, continual, periodic, static, rapid, linear, continuation, normal, extensive, direct, Informatics, biomedical, neuroscience, cybernetics, sciences, bioinformatics, microbiology, humanities, robotics, nanotechnology, olympiad, Grad, bm-21, grads, mrkonjic, mrkonjić, katyusha, ib, rocket, 122mm, sipovo, rockets, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Learning, teaching, knowledge, experience, skills, learn, understanding, education, educational, lessons, studying, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Technology, technologies, computer, tech, software, systems, innovation, technological, engineering, research, computing, Information, data, knowledge, access, provided, intelligence, source, documents, web, internet, provide"
5,Sasria,Graduate programme,Gauteng,Quality Assurance Graduate Programme 2023,"The graduates will assist the Quality Assurance (QA) Seniors and Specialists to perform QA reviews in line with the QA plan and methodology.
 
The incumbent will as such be required to work closely with the QA Team for training, coaching and guidance. When required, the incumbent will be expected to assist with advisory and consulting services as part of their training. 
 
Responsibilities:Assists in identifying and evaluating the risk areas in the organisation.
Assist with review on the adequacyand effectiveness of controls using flow charts and other methods of evaluation.
Assist in the development of QA review programs or procedures by identifying risks and controls matrix (RACM) for the area to be reviewed.
Completion of all working papers in accordance with the QA methodology.
Understand and adhere to client and staff relationships through individual contacts and group meetings.
Pursues professional development opportunities, including external and internal training and professional association memberships, and where possible be able to share information gained with co-workers. 
Company project teams;
External assurance providers or organisations.
Active involvement in development of own skills, through agreeing performance development plan with the QA Team
Requirements:
Degree or a National Diploma in:Auditing,
Insurance,
Risk management
Accounting","UnderstandPursues, Requirements, Team, Assurance, External, Quality, Accounting","UnderstandPursues, Requirements, requirement, standards, regulations, required, rules, criteria, limits, guidelines, compliance, require, Team, teams, squad, football, players, coach, player, league, season, soccer, championship, Assurance, assurances, guarantee, satisfaction, trust, guarantees, guidance, clarity, adequate, assure, assessment, External, internal, structural, foreign, direct, and/or, current, system, affairs, budgetary, input, Quality, excellent, standards, performance, good, better, improve, lack, product, efficiency, well, Accounting, auditing, audit, financial, auditors, practices, bookkeeping, management, corporate, disclosure, firms"
6,RCL Foods,Graduate programme,Nationwide,Graduate Trainee Programme 2023,"We’re giving graduates in South Africa the opportunity to develop their unique recipe for success in their professional journey.  
 
Our Management Trainee Programme offers exceptional development opportunities to self-motivated, talented individuals who are full of flavour, enabling them to achieve a successful future. 
 
Through a fast-paced, accelerated learning environment, Management Trainees will receive essential career ingredients from their trainers. They’ll receive the development training, experience and mentorship needed to take them to leadership levels within RCL FOODS.
 
What is in it for you?Meaningful work experience that forms the foundation of your career, receiving the perfect career entree for your future. 
Coaching from senior leaders to gain insights into strategic thinking. You’ll also receive career advice from these career masterchefs. 
Planned rotations to ensure you obtain the right combination of ingredients to get you ready for that leadership role. 
Structured development plans that keep you clear on what preparation you need throughout your journey. 
You’ll combine the above daily to create a CAREER, not just a job!  
 
The following Graduate Opportunities are open for applications:
 
 
Customer Trainee Programme
B.Com / B.Social Science / B.Business Science degree in: Marketing
Supply Chain
Logistics
Economics
Management
Human Resources Trainee Programme
Must have any of the following:BTech Human Resources Management
BCom Human Resources Management
BCom Industrial Psychology
B.Social Science Honours in Industrial, Organisational and Labour Studies (Human Resource Management)
Bachelor of Arts Honours in Industrial Psychology
Bachelor of Business Science in Human Resources ManagementCompleted studies or currently in the final year of study Marketing Trainee Programme
Must have any of the following:B.Com (Sales & Marketing)
BA (Sales & Marketing)
B Social Science (Sales & Marketing)Completed studies or currently in the final year of study Mechanical Engineering Trainee Programme B.Engineering/ B.Sc. Engineering/ BTech Engineering (Mechanical) 
Completed studies or currently in the final year of study
Electrical Engineering Trainee ProgrammeB.Engineering/ B.Sc. Engineering/ BTech Engineering (Electrical)
Completed studies or currently in the final year of study 
Industrial Engineering Trainee ProgrammeB.Engineering / B.Sc. Engineering / BTech Engineering (Industrial) 
Completed studies or currently in the final year of study 
Chemical Engineering Trainee ProgrammeB.Engineering/ B.Sc. Engineering/ BTech Engineering (Chemical)
Completed studies or currently in the final year of study 
Instrumentation Engineer​​​​​​​ Trainee ProgrammeB.Engineering Electrical / B.Tech Electrical Engineering (Electrical light current, Control, and Instrumentation, Telecommunication)
Completed studies or currently in the final year of study 
Skills and Competencies:South African citizen or permanent resident 
Computer Literacy (MS Office, including Excel and Word)  
Excellent Communication skills 
Output driven 
Deadline driven 
Analytical thinking ability 
Decision making ability","South, AfricaInstrumentation, Telecommunication, Competencies, Opportunities, Human, Management, Tech, Resource, Control, Electrical, Industrial, Graduate, Completed, Literacy, Programme, Our, Computer, Social, Skills, Trainee, Honours, Chemical, Mechanical, Structured, Marketing, Sales, Trainees, Bachelor, Resources, Arts, Science, EngineeringExcelLogistics, Trainee, Electrical, Honours, Human, Economics, Management, Programme, Resources, Supply, Science, Engineering, Chain","South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, AfricaInstrumentation, Telecommunication, telecommunications, telecoms, telecom, communications, wireless, communication, telephony, infrastructure, services, provider, Competencies, competences, competence, competency, self-discipline, strengths, methodologies, qualifications, teamwork, proficiencies, abilities, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Human, animal, rights, humans, animals, body, nature, beings, organization, scientific, common, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Tech, technology, electronics, computer, chip, big, business, texas, industrial, advanced, technological, Resource, resources, conservation, environment, development, enterprise, natural, management, energy, technology, biodiversity, Control, controls, controlled, power, controlling, system, security, own, authority, rule, forces, Electrical, mechanical, electric, electricity, machinery, components, engineering, wiring, plumbing, equipment, generator, Industrial, manufacturing, industries, sector, sectors, agricultural, construction, machinery, textile, industry, mining, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Completed, completion, completing, complete, first, construction, commenced, finished, later, project, prior, Literacy, numeracy, education, educational, illiteracy, math, curriculum, proficiency, learners, awareness, enrollment, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Our, their, my, your, own, we, way, what, good, whatever, need, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Social, education, political, cultural, welfare, educational, reform, health, public, environment, environmental, Skills, skill, abilities, talents, expertise, learning, ability, knowledge, experience, talent, techniques, Trainee, apprentice, full-time, part-time, janitor, technician, recruiter, trainees, paralegal, instructor, tutor, Honours, honors, honour, bestowed, knighthood, awarded, knighted, honorary, diploma, prizes, conferred, Chemical, chemicals, biological, toxic, materials, biochemical, compounds, industrial, components, nuclear, pesticides, Mechanical, electrical, engineering, hydraulic, mechanics, technical, hydraulics, physics, structural, components, design, Structured, customized, unstructured, integrated, flexible, combining, defined, structuring, hierarchical, tailored, coherent, Marketing, advertising, business, merchandising, product, management, corporate, brand, company, strategy, creative, Sales, retail, revenue, profit, earnings, consumer, profits, product, revenues, market, selling, Trainees, instructors, cadets, recruits, apprentices, sergeants, graduates, undergraduates, tutors, interns, recruiters, Bachelor, doctorate, degree, bachelors, graduate, ph.d., b.a., undergraduate, graduated, phd, diploma, Resources, resource, energy, environment, development, needs, natural, expertise, provide, infrastructure, reserves, Arts, art, academy, science, humanities, sciences, theatre, architecture, teaching, education, school, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, EngineeringExcelLogistics, Trainee, apprentice, full-time, part-time, janitor, technician, recruiter, trainees, paralegal, instructor, tutor, Electrical, mechanical, electric, electricity, machinery, components, engineering, wiring, plumbing, equipment, generator, Honours, honors, honour, bestowed, knighthood, awarded, knighted, honorary, diploma, prizes, conferred, Human, animal, rights, humans, animals, body, nature, beings, organization, scientific, common, Economics, sociology, professor, science, philosophy, psychology, mathematics, sciences, physics, harvard, institute, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Resources, resource, energy, environment, development, needs, natural, expertise, provide, infrastructure, reserves, Supply, supplies, fuel, electricity, demand, shortage, oil, capacity, food, gasoline, equipment, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, Chain, chains, stores, store, supermarket, grocery, retail, retailer, restaurants, shop, supermarkets"
7,Accenture,Graduate programme,Gauteng,Graduate Programme 2023,"Accenture offers exceptional development and career progression opportunities.
 
We’ll invest in your development from your first day and ensure you have all the training you need to hit the ground running. We provide a structured and detailed induction programme with our supportive graduate community. You can also look forward to mentorship from some of our most successful leaders.
 
Within your first year, you will get an opportunity to attend structured blocks of learning throughout the year, where you will further develop and enhance your skills. We encourage and facilitate our graduate employees to consistently develop their skills through frequent training sessions and our extensive, on-demand, learning platform.
 The following Graduate opportunities are open for applications:
 
Graduate Programme - Strategy & ConsultingMust have an NQF Level 7 or above Qualification.
Graduate Programme - Industry XMust be completing an Electrical/Electrionic, Mining, Metallurgical, Mechanical or Chemical Engineering bachelors degree from either UP, UCT, Wits or Stellenbosch.","Chemical, Graduate, Qualification, Programme, Must, Engineering, IndustryStellenbosch","Chemical, chemicals, biological, toxic, materials, biochemical, compounds, industrial, components, nuclear, pesticides, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Qualification, qualifying, qualify, qualified, qualifiers, play-off, qualifications, champions, uefa, tournament, championship, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Must, should, cannot, would, need, can, will, not, could, be, come, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, IndustryStellenbosch"
8,JD Group,Graduate programme,Gauteng,Graduate Programme 2023,"We are looking for young, vibrant and passionate graduates to be employed on a 12 month Wholesale & Retail SETA funded learnership. These individuals will play an exciting role in our growth journey while growing their careers in the JD Group - one of South Africa’s largest wholesale and retail group.
 
The primary aim of this opportunity is to develop young, motivated and high performing graduates who will infuse their talent into the organization. The graduates will be given structured learning and workplace experience.
 
Key Responsibilities (but not limited to):Required to attend all on-boarding / induction programmes and meetings which provide information about different functions of the company
Execute duties as required, under the supervision of senior employees
Perform research and document trends within the various functions of the company such as for instance new technology that can be implemented, best practices, etc.
Visit different locations / stores in order to get hands on working experience
Make presentations on the basis of which he or she may be evaluate 
NB. Applicants should not have participated in any SETA programme before Required Education:
We require graduates with the following qualifications:Marketing Management degree
Business Management / Business Administration degree
Human Resource Management/Industrial Psychology degree
B Com Financial Management
B Com Law / Economics
Digital Marketing relevant degree
BSc / B Com Software Engineering
IT Project Administration / Project Management degree
IT information systems / Business information Technology degree
Graduates from TVET Colleges and HET Institution within the retail and retail sector","South, AfricaWholesale, Institution, Group, Industrial, Digital, Education, Human, Marketing, Business, Perform, Administration, Execute, Management, Required, Psychology, Resource, Project, Retail","South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, AfricaWholesale, Institution, institutions, society, institute, established, private, university, foundation, academic, education, educational, Group, groups, based, members, organization, led, which, formed, alliance, joined, called, Industrial, manufacturing, industries, sector, sectors, agricultural, construction, machinery, textile, industry, mining, Digital, electronic, analog, video, audio, multimedia, computer, wireless, interactive, internet, computers, Education, educational, schools, teaching, curriculum, programs, social, health, school, academic, welfare, Human, animal, rights, humans, animals, body, nature, beings, organization, scientific, common, Marketing, advertising, business, merchandising, product, management, corporate, brand, company, strategy, creative, Business, industry, companies, businesses, marketing, company, corporate, financial, market, investment, management, Perform, performed, performing, performs, participate, live, undergo, dance, sing, required, able, Administration, government, policy, bush, congress, officials, clinton, office, department, federal, washington, Execute, executing, executed, executes, execution, accountable, instructions, respond, implement, proceed, faithfully, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Required, require, requires, requiring, necessary, requirement, requirements, allow, needed, provide, must, Psychology, sociology, philosophy, anthropology, biology, psychiatry, neuroscience, science, professor, studies, economics, Resource, resources, conservation, environment, development, enterprise, natural, management, energy, technology, biodiversity, Project, projects, development, program, plan, construction, plans, work, initiative, part, build, Retail, sales, retailers, consumer, stores, market, retailing, wholesale, store, businesses, retailer"
9,FNB,Graduate programme,Gauteng,Graduate Programme 2023,"Purpose: Trainee role is a developmental pipeline for key roles in business units.
 
ResponsibilitiesDeliver exceptional service that exceeds customers’ expectations through proactive, innovative and appropriate solutions
Provision of an efficient execution of role responsibilities through careful and timeous planning, reporting and updating of all related information in the relevant role of learning
Participate in the innovation process in the business and contribute toward new innovations against objectives
Participation in knowledge sharing and projects to maximise skills required for the role and relevant career exploration by executing all activities required to be efficient and successful
Manage graduate development plan by completion of training assignments
Manage graduate development plan to increase own competencies and skills by attendance of training
Manage own development to increase own competencies
Live the values of the business through demonstrating and displaying of the values required in the business
Minimum Qualification:
Recent Graduates / Final year University degrees in:Commerce (Accounting, Business Management, Finance, Economics etc),
Actuarial Science,
Maths,
Statistics,
Engineering,
Marketing,
HR,
Industrial Psychology,
Information Systems,
Computer Science,
This is not an exhaustive list of degreesThis is not an exhaustive list of degrees
 
Additional requirementsOnly open to South African Citizens","Commerce, Industrial, Responsibilities, Business, Finance, Management, Systems, Deliver, Computer, Psychology, Science, Information, Accounting, ParticipationMathsActuarial, Science, Participate","Commerce, trade, department, transportation, tourism, finance, industry, affairs, agriculture, business, bureau, Industrial, manufacturing, industries, sector, sectors, agricultural, construction, machinery, textile, industry, mining, Responsibilities, duties, responsibility, obligations, tasks, matters, fulfill, priorities, delegated, objectives, entrusted, Business, industry, companies, businesses, marketing, company, corporate, financial, market, investment, management, Finance, banking, foreign, minister, financial, commerce, investment, reform, government, fund, affairs, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Systems, system, technologies, equipment, technology, software, computer, devices, components, communications, communication, Deliver, delivering, delivered, provide, carry, delivers, promised, bring, send, promise, produce, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Psychology, sociology, philosophy, anthropology, biology, psychiatry, neuroscience, science, professor, studies, economics, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Information, data, knowledge, access, provided, intelligence, source, documents, web, internet, provide, Accounting, auditing, audit, financial, auditors, practices, bookkeeping, management, corporate, disclosure, firms, ParticipationMathsActuarial, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Participate, participating, attend, join, participation, organize, participated, compete, engage, enter, continue"
